Date,Location,Results,Layer,Latitude,Longitude,Location,Results,Layer,Latitude,Longitude,Location,Results,Layer,Latitude,Longitude
2008-12-14,New Zealand,10,Nation,-41.5000831,172.8344077,North Island,10,State,-38.00353045,175.95785260835657,South Island,15.0,State,54.52476,-5.580055623278962
2008-12-21,New Zealand,10,Nation,-41.5000831,172.8344077,North Island,9,State,-38.00353045,175.95785260835657,South Island,14.0,State,54.52476,-5.580055623278962
2008-12-28,New Zealand,15,Nation,-41.5000831,172.8344077,North Island,13,State,-38.00353045,175.95785260835657,South Island,16.0,State,54.52476,-5.580055623278962
2009-01-04,New Zealand,13,Nation,-41.5000831,172.8344077,North Island,13,State,-38.00353045,175.95785260835657,South Island,15.0,State,54.52476,-5.580055623278962
2009-01-11,New Zealand,8,Nation,-41.5000831,172.8344077,North Island,9,State,-38.00353045,175.95785260835657,South Island,11.0,State,54.52476,-5.580055623278962
2009-01-18,New Zealand,6,Nation,-41.5000831,172.8344077,North Island,6,State,-38.00353045,175.95785260835657,South Island,9.0,State,54.52476,-5.580055623278962
2009-01-25,New Zealand,6,Nation,-41.5000831,172.8344077,North Island,6,State,-38.00353045,175.95785260835657,South Island,7.0,State,54.52476,-5.580055623278962
2009-02-01,New Zealand,6,Nation,-41.5000831,172.8344077,North Island,6,State,-38.00353045,175.95785260835657,South Island,7.0,State,54.52476,-5.580055623278962
2009-02-08,New Zealand,6,Nation,-41.5000831,172.8344077,North Island,6,State,-38.00353045,175.95785260835657,South Island,6.0,State,54.52476,-5.580055623278962
2009-02-15,New Zealand,12,Nation,-41.5000831,172.8344077,North Island,10,State,-38.00353045,175.95785260835657,South Island,7.0,State,54.52476,-5.580055623278962
2009-02-22,New Zealand,12,Nation,-41.5000831,172.8344077,North Island,10,State,-38.00353045,175.95785260835657,South Island,10.0,State,54.52476,-5.580055623278962
2009-03-01,New Zealand,14,Nation,-41.5000831,172.8344077,North Island,12,State,-38.00353045,175.95785260835657,South Island,18.0,State,54.52476,-5.580055623278962
2009-03-08,New Zealand,12,Nation,-41.5000831,172.8344077,North Island,11,State,-38.00353045,175.95785260835657,South Island,21.0,State,54.52476,-5.580055623278962
2009-03-15,New Zealand,16,Nation,-41.5000831,172.8344077,North Island,15,State,-38.00353045,175.95785260835657,South Island,21.0,State,54.52476,-5.580055623278962
2009-03-22,New Zealand,18,Nation,-41.5000831,172.8344077,North Island,17,State,-38.00353045,175.95785260835657,South Island,23.0,State,54.52476,-5.580055623278962
2009-03-29,New Zealand,13,Nation,-41.5000831,172.8344077,North Island,14,State,-38.00353045,175.95785260835657,South Island,16.0,State,54.52476,-5.580055623278962
2009-04-05,New Zealand,14,Nation,-41.5000831,172.8344077,North Island,16,State,-38.00353045,175.95785260835657,South Island,13.0,State,54.52476,-5.580055623278962
2009-04-12,New Zealand,15,Nation,-41.5000831,172.8344077,North Island,15,State,-38.00353045,175.95785260835657,South Island,10.0,State,54.52476,-5.580055623278962
2009-04-19,New Zealand,19,Nation,-41.5000831,172.8344077,North Island,17,State,-38.00353045,175.95785260835657,South Island,15.0,State,54.52476,-5.580055623278962
