Date,South Africa,Gauteng,Kwazulu-Natal,Western Cape
2015-02-01,2470,2633,2162,2138
2015-02-08,2483,2526,2312,2506
2015-02-15,2466,2421,2418,2544
2015-02-22,2520,2455,2523,2648
2015-03-01,2492,2462,2541,2507
2015-03-08,2491,2544,2401,2533
2015-03-15,2626,2561,2769,2564
2015-03-22,2483,2440,2315,2707
2015-03-29,2349,2293,2288,2562
2015-04-05,2677,2628,2684,3013
2015-04-12,2789,2792,2873,2745
2015-04-19,2859,2876,2648,2867
2015-04-26,2959,2946,2418,3232
2015-05-03,3463,3455,2794,3984
2015-05-10,3704,3509,3456,4947
2015-05-17,3955,3763,3040,5152
2015-05-24,4074,3997,3579,4973
2015-05-31,4376,4377,3560,5011
2015-06-07,4919,4926,3899,5492
2015-06-14,4964,4873,4304,5341
2015-06-21,4461,4451,3759,4945
2015-06-28,3814,3819,3765,4066
2015-07-05,3394,3457,3259,3848
2015-07-12,2963,2922,2911,3812
2015-07-19,2751,2811,2684,3024
2015-07-26,2967,2996,2638,3443
2015-08-02,3348,3394,3013,3947
2015-08-09,3446,3382,2933,4541
